tweet_text_cleaned,user_description_cleaned,source,original_tid,u_id,label,is_synthetic,model
RT {{MENTION}}: A dictator would have shut the democrat socialist summer of love down. President Trump let due process and the 10A wor…,,follower_100,t_1566849761143046145,627,0,0,original
RT {{MENTION}}: Alex Marie Ivory Pant Suit Jacket 10 Pant 8 Wear to Work #AlexMarie #PantSuit {{URL}} via {{MENTION}} {{URL}},"Vintage shop owner, animal lover, roller derby fanatic.",follower_41,t_852622617014030336,61,0,0,original
{{MENTION}} {{MENTION}} Thank you ❤️,On now: Six Decades Collecting Self-Taught Art & American Weathervanes: The Art of the Winds | Admission is always free: {{URL}},following_5,t_1163211009450024960,355,0,0,original
"Wait for it... 🌖 Incredible! The Bryan Bay Lighthouse, Australia 🇦🇺 #travel #nature #Australia #moon {{URL}}","Global citizen trying to improve the 🌍 one tweet at a time | Business, Leadership, & Mindset Coach: {{MENTION}}_tide | 🇦🇺 in 🇺🇸 | #BLM | #ClimateCrisis | #FBR",follower_58,t_1341833855297150976,509,0,0,original
RT {{MENTION}}: Tu seras la preuve vivante que la foi en Dieu n'est jamais mal placée.,Les mauvaises compagnies détruisent des rêves et aussi des vies 🇮🇪,follower_107,t_1584080586632998912,374,0,0,original
"{{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}_CVE {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}_Mel {{MENTION}} {{MENTION}} I’m not turning anything around friendo, the two things go hand in hand. “Minding your own business” is code for let me do what I want regardless of the consequences to anyone else.",not very good at writing witty profiles. Halston was a god 🇺🇸🇨🇦🏳️‍🌈,follower_81,t_1555945764626505728,370,0,0,original
The Three Wise Monkeys - Hand Carved on Legal Mammoth Ivory Tusk - Now on sale! {{URL}} {{URL}},I love Art especially Carved legal ivory,seed_0,t_554969004402409474,11,1,0,original
"RT {{MENTION}}: It is screaming us in the the face. Trump, "" I don't give a fuck about you. It's me me me"". For the love of truth and…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541842762735034368,169,0,0,original
RT {{MENTION}}: Je marche dans Aubervilliers avec mon gros sac à dos et ma coupe carré et j’entends « wesh dora l’exploratrice il est où b…,Les mauvaises compagnies détruisent des rêves et aussi des vies 🇮🇪,follower_107,t_1578036782834122752,374,0,0,original
Relax into the New Year with this fantastic ivory leather LC3 sofa in great vintage condition… {{URL}},"we renovate authentic industrial and vintage furniture, lighting and homewares. contact us at {{EMAIL}}",seed_r1,t_818136529898008577,19,0,0,original
"""Indeed if we are very lucky, we may come to experience a special form of love for those who inhabit our books and even, at times, for the authors who write them."" - {{MENTION}} #amwriting #amreading #amloving","Small Business, Selfpub Authors, and the Ocean Lifestyle in Vero Beach!",follower_25,t_1028265637582397441,783,0,0,original
RT {{MENTION}}: We were all so touched to see Tom included on such an important night in America. Congratulations {{MENTION}} and {{MENTION}}…,🇬🇷🏍️🌊🎭🎨🤘♑🌛🌕🌜,follower_69,t_1325265912019214337,341,0,0,original
"c1886 ANTIQUE ENGRAVING - QUEENSTOWN, NEW ZEALAND - W.C. FITLER {{URL}} {{MENTION}}",Dealers in all things Antique or Collectable. Message us for more information. Follow us on {{URL}},follower_86,t_865292228008321025,858,0,0,original
Showing your car at #magnificentmotors in May? We can make your interior as magnificent as the exterior #classic #vintage,"Eastbourne Upholstery Service. Car Seats repaired or recovered, Classic, Vintage or modern cars, Domestic Upholstery, Boats Vans, motor bike seats etc.",follower_55,t_572159349495234560,265,0,0,original
{{MENTION}} :),"Artist, photographer, lover of books, tea, starry skies, salty breezes, belly laughs, new places, old trees and handwritten letters.",follower_33,t_208530086071255040,958,0,0,original
RT {{MENTION}}: Vintage Fenton Milk Glass Candy Dish Hobnail Pattern Handled Dish Ruffled Bowl Chrome Handle {{URL}} v…,Thank you for your Support & RT's!!!! Elaine's Antiques & Collectibles on Ruby Lane.,follower_50,t_1551208674730938368,403,0,0,original
"Simone Fezer (Germany) and Krista Israel (Netherlands) two of our network artists showing in the KISS-Show ""SweetNothingSweet, {{MENTION}}, Schloss Untergröningen. Exhibition runs until September, 27th please visit {{URL}} for further information. {{URL}}",An international centre dedicated to the study and development of glass making.,follower_31,t_1267093952286593025,144,0,0,original
{{URL}} {{URL}} . {{URL}},"from Lansing, MI. All's fair in love and war.",follower_16,t_560362891665494016,174,0,0,original
"{{MENTION}} {{MENTION}} I’m sorry, did you just say you LIKE cleaning?!","#SoulsHarbour co-founder & CEO. Serving 100,000+ meals yearly in Halifax, Bridgewater & Truro. #MissionMart 🛒 thrift store now open - 265 Susie Lake Crescent",follower_19,t_1332256534496153600,158,0,0,original
RT {{MENTION}}: “…what constitutes our newly understood human psychology & what makes up our actual human nature can be seen as fortuitous…,"#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1540775724700708866,169,0,0,original
#torbayhour were also looking forward to our #introduction to #poker next Thursday 28th !!!,#curios #collectibles #arts&crafts #upcycledfurniture #tavistock,follower_59,t_689183318164795392,792,0,0,original
#golf #tennis #sports #football #martialarts #swimming #cricket #badminton Search for your favourite club on Clubtray {{URL}},{{URL}} The place to be for communicating with your club members and followers. admin{{MENTION}}.com,follower_6,t_485241943425687552,790,0,0,original
{{MENTION}} 🍻,"Halifax-based writer, editor & teacher, working in post-secondary communications. Author of Making it Home ({{MENTION}}).",follower_22,t_1339187069155946497,680,0,0,original
Carlos Cruz-Diez: un dialogue entre #couleur et #architecture {{URL}} {{URL}},"Art, design, antiquités et objets de collection, votre recherche commence ici !",follower_117,t_743418254216007680,394,0,0,original
{{MENTION}} {{MENTION}} {{MENTION}} Well deserved {{MENTION}} ❤️,"Customer management, #Computacenter ❤️✈️🧉🍹🇹🇭🥳🐱🐶🥂🎭🗽🏝 my views are my own.",follower_58,t_1223951932676542469,678,0,0,original
"Thanks {{MENTION}}, {{MENTION}} and {{MENTION}} for helping us introduce artist news! {{URL}}","Promoting fine art worldwide on iPad, iPhone, social media and the web.",following_43,t_307618407191298051,538,0,0,original
HB5578 will require documentation the ivory on this finial is antique- hoping that will save elephants in Africa??!! {{URL}},"Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture.",seed_r1,t_723356425657831427,2,0,0,original
RT {{MENTION}}: The perfect bedroom for stargazers ✨ ' {{URL}},Sell or Buy your next property today with Kelly Morgan {{URL}} {{URL}} 8058079579,follower_16,t_499635663462223872,367,0,0,original
It depicts true passion. 100% genuine ivory.Order now {{URL}} #art #ivory #mammoths #netsuke #monkey #antiques #sex #passion {{URL}},I love Art especially Carved legal ivory,seed_0,t_780469932115058688,11,1,0,original
"{{MENTION}} {{MENTION}}_twistedband Cheers Kev, thank you, yes I am, it’s wonderful. Hope you’re well and cheery. D",BBC TV Presenter - Antiques Broker - Speaker - Artist - Auctioneer. New Antiques Channel on YouTube: {{URL}},following_39,t_1279101371585880067,234,0,0,original
F**k you {{MENTION}} for having these pair of twa{{MENTION}} at an Arsenal game .... they fooling hate Arsenal 🤷‍♂️ where is {{MENTION}} 👊👊👊👊,love all things Arsenal⚽️🏟🏆👍,follower_46,t_1355602026718232577,357,0,0,original
RT {{MENTION}}: Vintage Asian Jewelry Box with Dragon Handles Looks Like Carved Ivory Cream and Black {{URL}} via {{MENTION}}…,"CurlyGirlBoutique on {{URL}} has vintage Christmas, tin box, jewelry box, and suitcase from West Michigan area. Welcome!",follower_88,t_1043888825196584960,73,0,0,original
"We see that even treason, insurrection, & the overthrow of democracy & rights such as freedom of speech, the separation of church & state, READ BOOK.. {{URL}} #history #psychology #MAGAts #FBR #RoeVWade #BLM #RoeVsWade #Trump #resist #Roe #RoeOverturned CW 1/131","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1544549215862341632,169,0,0,original
This fire went better than I expected! {{URL}},BBC TV Presenter - Antiques Broker - Speaker - Artist - Auctioneer. New Antiques Channel on YouTube: {{URL}},following_39,t_1311209967186317313,234,0,0,original
"Lot 31 A Pair of Hong Kong Silver Vases decorated with chrysanthemums, 28cm, Wing Nam & Co., 424g Est £200-£""60 to be auctioned on the 12th Nov {{URL}}","Auction house Located In Exmouth Devon. Antiques & Collectables,Fine Art Silver,Gold,Coins,Jewellery,High End Watches,Lalique,Clocks Etc",follower_69,t_1059837611882221568,726,0,0,original
RT {{MENTION}}_seacadet: Huge thank you to Tunbridge Wells Masonic Hall {{MENTION}} for use of their stunning venue for our recent presenta…,,follower_85,t_1470679317009031171,956,0,0,original
"{{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}_Voice {{MENTION}} @_WildlifeUK_ We really love this thread! If you're following and looking for ways to make your garden into a thriving home for nature, check our free wild challenge activities! They are great for wildlife, not just for kids! - {{URL}}","Photos, wildlife sightings, events and news from the team at RSPB Pulborough Brooks.",follower_31,t_1030098345476464640,266,0,0,original
{{MENTION}} {{MENTION}} 💙🙏💙,/|\⭐~A little cottage in the woods~ Where all Magic is understood... Come sit with us for a Spell~ For we know your needs so well~⭐/|\ Awen of Avalon Seedgroup,follower_107,t_1088541968542650369,400,0,0,original
These two can't seem to get enough of each other. Who else is feeling the love. This lovely piece of {{URL}},I love Art especially Carved legal ivory,seed_0,t_834387212305309696,11,0,0,original
"(3/3) ""Then something amazing happened. Lucie started to wake up. A few months later we celebrated her 1st birthday and we recently celebrated her 3rd! Lucie's recovery continues to amaze us."" Philippa, Lucie's mum. Read Lucie's story here: {{URL}} #CharityTuesday {{URL}}",We raise and invest money for vital specialist research to save the lives of every child with cancer. Registered Charity Number: 298405.,following_32,t_1200100055589564416,847,0,0,original
RT {{MENTION}}: HOLY SHIT! They brought AR-15s!!!,"#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541873879919890432,169,0,0,original
{{MENTION}} {{MENTION}} Pleasure. It is truly fabulous.,⭐Journalist. TV Producer. Vintage Retailer⭐BBC. Channel 4. Cosmo. Eve. Daily Mail. New Woman. Telegraph. Vogue⭐MD {{MENTION}}⭐Co-Owner {{MENTION}},follower_117,t_1134045211259297792,414,0,0,original
RT {{MENTION}}: The Garage #architecturalphotography #historic #building #DianaMarySharpton #wallartforsale #fineartforsale #fineartam…,"Always been attracted by Antiques, Vintage,Retro,Collectible,Art Beauties. Picking finds and treasures with history Sell:{{URL}}",follower_72,t_1357322196310515715,895,0,0,original
"RT {{MENTION}}: SLS 1/42 Even among species we perceive as having 5 senses as we do, we observe immense differences from human perception…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1544772031874420737,169,0,0,original
"{{MENTION}} at #LAPADAconference: ""New tech compliments trad retail, touchscreens are increasingly used more w/ new sensory capabilities""","The UK's largest association of professional art & antiques dealers | The LAPADA Art & Antiques Fair, Berkeley Square | Buy with confidence from LAPADA members.",follower_82,t_702448306690105344,27,0,0,original
"{{MENTION}} good luck, George",An eclectic mix of country house and decorative. We regularly ship worldwide to clients.,follower_115,t_527181234867544064,390,0,0,original
RT {{MENTION}}: {{URL}} #greatestbathonian nominee Andrew Lincoln starred in the famous ROM-com 'Love Actually' as Mark!,Partner {{MENTION}} specialising in wills and lifetime tax planning for farmers and business owners,follower_106,t_422659578137174016,727,0,0,original
{{MENTION}} {{MENTION}} Just been told by the BandQ CS advisor that his computer is down and will be fixed this Friday #disappointed,Global Marketing Operations Manager - Equinix - Marketing and Sales Automation Professional,seed_r1,t_894847848918994944,364,0,0,original
RT {{MENTION}}: Acrylic Carved Beaded Earrings with Ivory Crystals and Brass A by Lilyspad58 {{URL}} #etsymntt #pottiteam #…,"Come visit me at my Etsy shop for crochet, jewelry, keychains, and hair accessories! {{URL}}",follower_76,t_712088634929897473,85,0,0,original
Full interior recovered In blue leather including the door cards. for more info contact Eastbourne upholstery service {{URL}},"Eastbourne Upholstery Service. Car Seats repaired or recovered, Classic, Vintage or modern cars, Domestic Upholstery, Boats Vans, motor bike seats etc.",follower_55,t_524152817897205761,265,0,0,original
{{MENTION}} Stiles is by far the most quoted study in the ban ivory movement. I agree it is flawed it just looked at Chinatown LA/SF,"Opposing CT hb5578, MA h1275, RI2796 which ban antique ivory. Save elephants without violating property rights, gun rights, art, history and culture.",follower_119,t_710979813071310849,2,0,0,original
"Wow, the detail and realism are impressive! RT {{MENTION}}: The trilliums are finished! {{URL}}","Promoting fine art worldwide on iPad, iPhone, social media and the web.",following_43,t_299664582610391040,538,0,0,original
RT {{MENTION}}_taylor_: I’ve been in the garden studio bright & early today prepping work samples ahead of some fun filming 🎥 {{URL}},🌈Print & Pattern from {{MENTION}}_taylor_ ✨Online 1:1 Creative Coaching 😃Collaborations welcome 🎨Art direction + styling #patternstomakeyouhappy,follower_21,t_977126740953829377,318,0,0,original
Looking forward to seeing some beautiful driving ponies. Thanks {{MENTION}} for photo {{URL}} #drivinghorses,Edenbridge & Oxted show is a traditional country show on the August Bank Holiday weekend. A great family day out!,follower_66,t_232600014436843520,513,0,0,original
"""who you looking all cute n shit for?"" {{URL}}",just tweeting my life ,follower_55,t_755508339497377792,153,0,0,original
👑ROLEX GMT 16710 PEPSI 1989👑 FOR SALE ON COMMISSION 🍻 A great opportunity to own a rare watch today. This Rolex oyster perpetual GMT master 2 comes with extras and its full set. Selling on behalf of a reluctant… {{URL}},Vintage uk watch shop established 1973. Specialist watch restoration and sales. Family business⌚ 0207 250 3734 (Also WhatsApp) Info{{MENTION}}.co.uk,following_25,t_1128222151377444865,225,0,0,original
Vintage Lenox Vase - Fine China with a Pink Rose and Golden Leaves - Classic Ivory Porcelain with 24k Gold Trim {{URL}} via {{MENTION}}  #gotvintage #GVS #vintageLenox #lenoxvase #LenoxRoseVase,"Retro, vintage, collectibles sales on Etsy and eBay.  susans*selections on eBay
{{URL}}",seed_r1,t_1015089543509262337,40,0,0,original
RT {{MENTION}}: An #elephant's life for an ivory trinket? RT to say NO!,"retired mental health nurse,devourer of Roman historical fiction, collector of Roman coins. a very proud nana and fan of LFC x lover of animals.",follower_74,t_498237010407337984,101,0,0,original
"Завтра в ""длинный четверг"" в Галерее скульптуры экскурсия ""Волшебство, застывшее в камне"". Начало в 18.30. #ИХМС {{URL}}",Иркутский областной художественный музей им. В.П. Сукачёва,following_34,t_763295989205704704,425,0,0,original
This #Chinese ivory figure group is one of many Oriental ivories in our #auction on Tuesday. #Antique {{URL}},Southport Auctions in partnership with Thomas Watson Auctioneers offer a comprehensive antiques and fine art auctioneering service covering the north of England,seed_r1,t_710886075603034112,1102,1,0,original
{{MENTION}} There's an Avaaz petition to the HK government to ban their ivory trade: {{URL}},"One of the oldest architectural antiques companies in the UK. Specialties: original pub & church interiors, furniture & lighting for the retail & cafe trades.",following_44,t_426032663749591040,65,0,0,original
"the sanest response to an emergency is heroism. Not enlightenment. Not social status. Not corporate success. Not any kind of material achievement. No. Free, right now. Click link. On right, see Kindle Price $0.00, click “Buy now..."" It’s yours {{URL}} #climate","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1540689517455228929,169,0,0,original
What doesn't kill you makes you a bitch.,I buy shit I don’t want to sell it to people that DO want it for more ... so I can buy shit I want.,follower_16,t_482725341145075712,208,0,0,original
"RT {{MENTION}}: Ivory Pearl Stretch Bracelet, Silver Gray Pearl Bracelet, Bridesma… {{URL}} #etsymntt #jewelryonetsy ht…","Come visit me at my Etsy shop for crochet, jewelry, keychains, and hair accessories! {{URL}}",follower_76,t_813817589344440320,85,0,0,original
Yay! #AYGPosterGirl {{MENTION}} Alys in {{MENTION}} this month {{URL}},"A collective of young antiques dealers, auctioneers, restorers and service providers. Enabling and championing young talent. {{URL}}",following_2,t_497044500393779200,148,0,0,original
{{MENTION}} loving how passionate u r are about the subject,"Auctioneer & Valuer for almost 30 years. BBC Antiques Roadshow expert, Cheffins Auctioneers Consultant. #ClassicPorsches John.foster123{{MENTION}}.com",follower_47,t_437340104613707776,633,0,0,original
Babies Soap . Lion Childrens Olive Soap by NaturalBeautyLine {{URL}} via {{MENTION}},Follow my shop at Etsy for top quality knitted scarves and accessories.,follower_55,t_746907507587588096,253,0,0,original
{{MENTION}}_x_leanne_x_x {{MENTION}} 😡,♨️EMPATH♨️SCRIBE ♨️ Synaesthete ~ AutismCarer ~ Musical Mystical Perspicacious crazy Cat woman ~ #AntiHunt #FreeAssange #MMIW 🪶 {{URL}},follower_56,t_1471113877123444740,344,0,0,original
"God bless you little fella, you made a million footprints in a lot of people's hearts ❤️🚀💫 {{MENTION}} #RIPBradley {{URL}}",Vintage Fairs in YORKSHIRE! Check out WHAT'S ON in 2021 by visiting our website. Keep up-to-date on Twitter & Facebook: AdVintageous Vintage Fairs & Event,follower_50,t_883361188289052672,611,0,0,original
{{MENTION}} {{MENTION}} 🥰✌️,,follower_33,t_1191447699016564743,1066,0,0,original
{{MENTION}}_fm Accurate,Rock band #LoveDiesYoung Official Video Out Now New album #MedicineAtMidnight Out Now The Storyteller | Out Now #Studio666Movie | Feb. 25th,following_7,t_1235288262023041025,747,0,0,original
RT {{MENTION}}: The Great British ivory debate {{URL}} via {{MENTION}} {{MENTION}} {{MENTION}} {{URL}},"London's Specialist Auctioneers, previously known as 25 Blythe Road",follower_53,t_793451983944421376,74,0,0,original
{{MENTION}}_heather {{MENTION}} but I DO support all sensible moves to stamp out poaching and illegal production and sales of modern Ivory 👍🏻,Supplier and restorer of Original Antique Painted Pine - that's the day job - long time Alfisti but now being seduced by an old and dodgy Porsche....,follower_48,t_702140780853534720,112,0,0,original
RT {{MENTION}}_c0llins: {{MENTION}} {{MENTION}} I've posted about it here if you know any good Landy groups to share with on Facebook: https:/…,"The finest antique aneroid barometers, barographs & other scientific instruments of the Victorian & Edwardian eras. We sell, buy and repair. And row.",follower_76,t_1360363480642170883,529,0,0,original
RT {{MENTION}}_AG: This is one of the trickiest piece I've worked on recently - Grotto by Tania Kovats from the {{MENTION}}_C_Collection the 'cave' needed a…,"Tweets from the curatorial team at Birmingham Museum & Art Gallery ({{MENTION}}_AG). Profile image: James the Carousel Horse from Bob Wilson's Funfair, Birmingham 🎠",follower_89,t_1174297138983030784,492,0,0,original
Full name: aaooebq {{URL}},From trending post to viral video we make it happen. Go viral with our game changing #socialmediamarketing services. #smmpanel #socialmedia #allmarketingtrends,following_29,t_1190909417065086977,138,0,0,original
"RT {{MENTION}}: Attacking antique ivory will never stop the Chinese desire for ivory. Every respect for BF FOUNDATION, but they have got it…","Christopher Clarke Antiques specialise in military campaign furniture and travel related items. Based in Stow on the Wold, The Costwolds. UK",follower_68,t_448919155161714688,70,0,0,original
Another side of Bob Dylan goes on show in Milan {{URL}},"This account is no longer active. Follow {{MENTION}} for art world news, features and reviews from {{MENTION}}.",following_31,t_299277828451598338,193,0,0,original
"Each week, we spotlight one of the notable talents from the roster of our most recent #1stDibs50. {{URL}}",A leading online marketplace for extraordinary design. Follow {{MENTION}} for more.,following_37,t_1336997851050733569,445,0,0,original
RT {{MENTION}}: Marché de l'art : l'anglais Bonhams acquiert le français Cornette de Saint Cyr {{MENTION}} {{MENTION}} par {{MENTION}}…,The official account for Bonhams Auctioneers. Follow us for the latest updates from our global salerooms.,follower_52,t_1541719595572031488,250,0,0,original
"#Vintage is the vibe in the home of these Pictou, NS homeowners. 😎 Step back in time for some modern #design inspo! {{URL}}","Atlantic Canada’s definitive homes magazine. Published by Metro Guide Publishing, an {{MENTION}} Company.",follower_50,t_1490766310791270402,151,0,0,original
{{MENTION}} what? Poverty like yours? Ha!,lewes chocolate company a good place for chocolate!,follower_32,t_298005229570502656,226,0,0,original
West Horsley Place has been used for grazing sheep for centuries. The neighbouring Sheepleas nature reserve was part of the West Horsley Place estate until the 1920s and its name means Sheep Meadows in Old English. #westhorsleyplace #surreywildlifetrust #sheep {{URL}},"West Horsley Place: an ancient manor house & estate with heritage, culture, nature and wellbeing at its heart.",follower_10,t_1245334742159044608,244,0,0,original
{{MENTION}} Absolutely!,"Wife, Bonus Mom, award winning Singer/Songwriter on a mission. 🎶",follower_17,t_331592049449111553,418,0,0,original
RT {{MENTION}}: A day without laughter is a day wasted. ― Nicolas Chamfort #quote,Selling Vintage Postcards and coins from all over the world! Follow my Etsy store on FB as well {{URL}},following_25,t_775696517806034944,290,0,0,original
Almost 2 in 3 people lacking access to safe drinking water survive on less than $2/day and 1 in 3 on less than $1/day.,"ONE DROP Foundation - an initiative of Guy Laliberté, Founder of {{MENTION}} - Ensuring access to safe water, sanitation, and hygiene since 2007. #OneDropFoundation",follower_56,t_564809450326728704,152,0,0,original
"RT {{MENTION}}: İvory Lace Shoes , Bridal Barefoot,Sandals, Beach Wedding Lace Sandals, Bridal Shoes, Ivory Lace Sandals, Wedding ankle…","Artist, author, designer and builder. Lover of all things unanswerable. Follow and re-tweet. We do.",follower_51,t_1073948379330306049,59,0,0,original
'Spins the words of Barbara Hepworth into an intoxicating and highly conceptual composition' {{MENTION}} Join us this Saturday for {{MENTION}}'s audio-visual installation based around her re-sounding of a 1961 recording of Hepworth’s voice. {{URL}} {{URL}},"Gallery, shop & café open Wed-Sun, 10am-4pm. Closed Mon-Tue. Barbara Hepworth: Art & Life £12/£10/free for Members, Wakefield residents. Garden open daily, free",following_3,t_1442730598485876738,501,0,0,original
"RT {{MENTION}}: “The delusion of free will also gives us allowance to punish people, with a clear conscience.” READ (&/or download) ENTIR…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1545270765297160192,169,0,0,original
"Face Mask-2 adult Gray fabric, Reusable, Double layered {{URL}} {{URL}}","Where lovers of Handmade connect! Mingle, network, and be inspired. {{URL}}",follower_85,t_1250601490210869257,778,0,0,original
"This Figurine is made of 100% genuine Mammoth Ivory Tusk. The extinct woolly Mammoth roamed the earth before 10,000-40,000 years ago. Today we can found Mammoth ivory tusk in the arctic regions like Siberia in Russia. More Details: {{URL}} #virgin #malaysianhair {{URL}}",I love Art especially Carved legal ivory,seed_0,t_1147758922834464768,11,1,0,original
has to be the best fair in the UK only two more this year {{MENTION}} {{URL}},"Third generation Antique dealer with units at Vintage look Henley, Karlen Antiques and Interiors Burnley and Memories Antiques Ramsbottom",follower_95,t_796428913786421248,1019,0,0,original
RT {{MENTION}}_mcelhatton: BREAKING NEWS for antiques trade: ivory ban to include pre-1947 antique ivory but with some exemptions {{URL}},"Associate Director, Head of Modern British & Post-War Art and Design in the South of England for Lyon & Turnbull, and Museum Trustee",follower_16,t_981073741382930432,51,0,0,original
"RT {{MENTION}}: The best way to prevent election subversion is by passing the Freedom To Vote Act, which includes legislation I authore…","Chrissy's husband. Father of Luna & Miles. #BiggerLove album out now feat. {{MENTION}}, {{MENTION}}, {{MENTION}}, {{MENTION}}. Drink like me: {{MENTION}}_wines",following_12,t_1479307465179107328,613,0,0,original
RT {{MENTION}}: We’re currently hiring for three new roles to join our Fashion for Good team in Amsterdam – positions open for Financia…,TABITHA+CO™ offers a unique handcrafted multi-functional timeless leather collection that is Mindfully Made™ with passion in Canada.,follower_52,t_1264225554787696640,710,0,0,original
Unusual Figured Mahogany Victorian Antique Console Table {{URL}} #antique #furniture #antiquefurniture #mahogany #victorian #table #mahoganytable #victoriantable {{URL}},"Antiques World specialise in quality British antique furniture. We sell antiques in mahogany, oak, walnut from the Georgian, Victorian and Edwardian era.",follower_96,t_1542892070624436224,160,0,0,original
"RT {{MENTION}}_WEST: Enter the {{MENTION}} ""Duck Trails"" contest. You could win a 2 Night Stay at any Accent Inn + $250 cash >> {{URL}}","A fun, BC hotel chain for the savvy traveller. We're different...in a good way. Stay different. Stay real. 1-800-663-0298",follower_78,t_756543297141805056,1042,0,0,original
